seq mean median rmse sse std
0000 0.010236352539295987 0.009070017241107113 0.011945459846214243 0.1085901423234503 0.0061571988459660325
0001 0.007490794140791247 0.00678646541210442 0.008298990413731418 0.07651817173668582 0.003572288486039933
0002 0.01103764427913834 0.009633709191656993 0.013437682256021115 0.31022150098288215 0.007664314266846667
0003 0.01698063043611922 0.013484256500706757 0.01982574473814416 0.9032522348618728 0.010233198151799485
0004 0.013683803531346062 0.013031213233579694 0.01519595577450945 0.501320963096739 0.006608372932603617
0005 0.00973336350459708 0.008664162508813399 0.011111097870448106 0.185802026309448 0.00535893000272014
0006 0.006133018415929187 0.0051604611666431115 0.0070894541816153255 0.08167308596398742 0.0035561841492105658
0007 0.015636153334087795 0.015230008920423053 0.017310083649740234 0.6043718548533454 0.007426284728846535
0008 0.01924736053471731 0.018194693830318583 0.021159092840650668 1.3386445574194303 0.008788988695286905
0009 0.00895292152291778 0.00822184166855959 0.010035779804730655 0.16013983329957304 0.0045345421481683525
0010 0.009952199908826929 0.009324170415927657 0.010847087340556425 0.22319969925863198 0.004314281023346151
0011 0.014171086629812675 0.01258949942453526 0.015906487537198172 0.27983607842277103 0.007224724873750217
0012 0.018631175725740995 0.016281079355359603 0.020968280800982248 0.4849546861229713 0.009620191828929418
0013 0.01425452905855084 0.014114152954704397 0.015361498508919505 0.42452016995472563 0.005725734691589009
0014 0.012374141337711222 0.011727351192677855 0.013485186976340161 0.29423373327913027 0.005360120702111161
0015 0.008907221045962345 0.008318243678839644 0.009562801105355958 0.21069426811529576 0.0034797382400063685
0016 0.015375496626249905 0.013328870704452725 0.017905577301603862 0.427693337803951 0.00917626296483973
0017 0.010995044726850294 0.010485879684086711 0.012331304835109573 0.26078475037592036 0.005583016244912622
0018 0.008639619087071953 0.007656086720795199 0.009897797729081292 0.13940618703750307 0.004829428736000644
0019 0.013112172628331932 0.012633801737433897 0.014053425194010587 0.4378547502186554 0.005056647965646253
0020 0.029247659422559632 0.028810976464922845 0.03109008404758195 1.8094627064324484 0.010543611543852912
0021 0.010665177829554902 0.009852271420720864 0.011946474164729421 0.10418431882703968 0.005382585515578747
0022 0.014456641767210628 0.013293265213177316 0.015488177124660578 0.2763459425028778 0.0055577998757962155
0023 0.023572008397973375 0.015880260415736147 0.03316995196067873 1.7790973180402292 0.023336797834313246
0024 0.01812575349688618 0.01718475892116823 0.01958244521012639 0.5368610245706427 0.007411425003177221
0025 0.007507616965609809 0.006788925147126364 0.008264260620715431 0.09855401920505656 0.003454517492327343
0026 0.019411948699544806 0.018194947187609584 0.023039766156436492 0.8525143042165018 0.012409958590967057
0027 0.03258502115735014 0.03361643246701084 0.034018258247736285 1.674529020921404 0.009770275860216114
0028 0.018979977946815406 0.01790299071075726 0.020464963306415094 0.6520945239179506 0.007653441073877622
0029 0.014624186781075958 0.011919184360623796 0.016860473117028846 0.3306124689880509 0.008390990091893539
0030 0.019564632112814517 0.01930122959338149 0.0205038274953353 0.4721169958193594 0.006134501793030527
0031 0.028035284750892484 0.028793474331551987 0.030676582554796494 1.8359938513376681 0.012452932432869771
0032 0.015769759573049463 0.01344102351677921 0.018169010700178193 0.41363152612845666 0.00902372610573949
0033 0.018593824693651614 0.019414080320192373 0.020476957409077925 0.6566328588921775 0.008577614353358565
0034 0.025812810995185783 0.02576012896252823 0.027010650357599163 1.1330303364459526 0.007954496921068461
0035 0.01444769769789667 0.01351315538653245 0.015900989402478447 0.4214867204508791 0.006641196820447591
0036 0.017167374171758232 0.016362186549029253 0.018335483052244403 0.844172936224205 0.00643981387976315
0037 0.012171075747800133 0.011894589815670535 0.012999892509851903 0.36435797455716895 0.004567507023422631
0038 0.006181162891959513 0.005756012568493642 0.006676472646877029 0.15449794475758713 0.002523591153011887
0039 0.009519379629738105 0.00884743318022166 0.010192395631399178 0.32817248978530256 0.0036422987483033667
0040 0.009227626855970365 0.008347224867352085 0.009789680951575066 0.22924414469564697 0.003269366259782795
0041 0.014779381096991694 0.015110783721082247 0.017072122230209548 0.7137790683784337 0.008545598389410759
0042 0.010045065580419269 0.009248755598064665 0.010556858313480058 0.23637963305334408 0.0032471395005403037
0043 0.016240704985196166 0.015933403779248057 0.01691805128518331 0.7413109895561599 0.004739194116294134
0044 0.0074817775676063875 0.006440210936587195 0.008726152125120625 0.19348630224420865 0.0044909615161576565
0045 0.018864688461368212 0.017140457189841245 0.02027343548630875 1.0308185635351474 0.007425342798352407
0046 0.013473215177319498 0.013090745662073432 0.014162201125296366 0.4075540555295184 0.004363532227335243
0047 0.015040272424254536 0.014540750252587765 0.015597221936315768 0.5079547174888803 0.004130803497492754
0048 0.021709161208371294 0.02085130224749687 0.02299683379710099 1.186220340003004 0.0075872712038277225
0049 0.013362167786204348 0.01332085722740085 0.014549882337812287 0.5082894815820809 0.0057577381060191285
0050 0.007710543149193165 0.007042155048783786 0.008790007194385083 0.14803825793058636 0.004220396998123742
0051 0.013707556373662368 0.013469800007799348 0.014984789567564646 0.45088418811546205 0.006053661424878541
0052 0.011176019608424478 0.00849947676389745 0.012681392887157562 0.14457513527704693 0.0059928550183165645
0053 0.010249673511938041 0.009274198572753536 0.011865477867253778 0.11770007635528981 0.005977771986029993
0054 0.011129807622266917 0.01161128862232647 0.011555321115185549 0.2574370600327022 0.0031069001217261917
0055 0.0084196907452074 0.007805668967886621 0.009080590711130144 0.15081408649574235 0.0034008727435956712
0056 0.009030587411220842 0.007418242063854504 0.010489969785125518 0.13479834596373674 0.005337411086017824
0057 0.015007902955706488 0.013290335163445325 0.016495283914024543 0.509088606317402 0.0068452348591099
0058 0.011462705677401944 0.011350783537989514 0.012072277187974005 0.25052684770913414 0.003787645054190641
0059 0.013264890366151406 0.010385903123334473 0.015176547282618967 0.4291002953663833 0.007373619938371704
0060 0.00672324983471623 0.0053662017360068355 0.00820210364656166 0.05065770168439189 0.004698128977468399
